"record_id","registration","normalized_registration","vehicle_make_as_stored","vehicle_model","vehicle_year","chassis_number","operational_vehicle_type_if_matched","proposed_asset_category","ownership_holder","insurer_th","insurer_en","policy_number","insurance_class","policy_issue_date","insurance_start_date","insurance_expiry_date","insurance_status","insured_value","repair_type","compulsory_included","compulsory_policy_number","compulsory_policy_issue_date","compulsory_start_date","compulsory_expiry_date","registration_date","registration_expiry_date","laos_expiry_date","insurance_premium","compulsory_insurance_cost","vehicle_tax","additional_premium","total_recorded_cost","main_document_present","compulsory_document_present","verification_status","review_status","insurance_linked_vehicle_id","candidate_operational_vehicle_id_by_registration","exists_in_shared_vehicle_master","exists_in_drivers","exists_in_fuel_logs","exists_in_weekly_mileage","exists_in_maintenance","exists_in_trip_journey","exists_in_booking_diary","relationship_classification","source","source_row","import_review_notes","notes","created_at","updated_at"
"894d763f-18eb-47d2-9c61-26e34ac1bc33","64-0359","640359","ISUZU",,"2017","MP1FTR34G7T001256","SIX_WHEEL_TRUCK","6-Wheel Truck","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","726-0131-1133","Class 1 / ประเภท 1","2026-05-06","2026-06-30","2027-06-30","active","1013000","Garage repair / ซ่อมอู่","True","726-0133-793","2026-05-06","2026-06-30","2027-06-30",,,,"51702.4","2718.87",,,"54421.27","Yes","Yes","verified","Verified",,"5e1414c9-ee99-43bd-925c-7bd7b7e8ad72","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle","boss_excel_2026","12",,,"2026-09-18T09:50:30.4791240+07:00","2026-09-21T11:27:11.0662550+07:00"
"e23a10e9-2e08-4b27-88d1-393c6e3dafb3","64-2699","642699",,,,,,"Trailer","Sender",,,"หางพ่วง",,,,,"missing",,,,,,,,"2018-01-29","2022-12-31",,,,"3750",,"3750","No","No","needs_review","Awaiting review",,,"No","No","No","No","No","No","No","B. Trailer / non-driver asset","boss_excel_2026","17","Insurance company is blank. Policy/document field contains vehicle/trailer description 'หางพ่วง', not a policy number. Insurance expiry is blank.",,"2026-09-18T09:50:30.4791240+07:00","2026-09-18T09:50:30.4791240+07:00"
"f59d2336-7aad-47a2-9e14-f87e952a1c6c","64-5954","645954","HINO",,"2018","MNKFG8JR1XHX11604","SIX_WHEEL_TRUCK","6-Wheel Truck","Sender","บริษัท วิริยะประกันภัย จำกัด (มหาชน)","The Viriyah Insurance Public Company Limited","04580-69112/กธ/032259-10","Class 1 / ประเภท 1","2026-07-08","2026-07-09","2027-07-09","active","770000","Garage repair / ซ่อมอู่","True","726-0133-788","2026-05-05","2026-06-30","2027-06-30",,,,"30937.16","2718.87",,,"33656.03","Yes","Yes","verified","Verified",,"c2b9674d-d453-4555-975e-c189f2773ba7","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle","boss_excel_2026","13",,,"2026-09-18T09:50:30.4791240+07:00","2026-09-21T11:35:16.7847700+07:00"
"e7659135-2137-4f6b-af94-fde20dbf0159","64-5956","645956","HINO",,"2018","MNKFG8JR1XHX11588","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Sender","บริษัท วิริยะประกันภัย จำกัด (มหาชน)","The Viriyah Insurance Public Company Limited","04580-69112/กธ/032255-10","Class 1 / ประเภท 1","2026-07-08","2026-07-09","2027-07-09","active","770000","Garage repair / ซ่อมอู่","True","726-0133-787","2026-05-05","2026-06-30","2027-06-30",,,,"29401.78","2718.87",,,"32120.65","Yes","Yes","verified","Verified",,"aa1ea6b4-a4f7-4e7b-9925-801a17a5cd1f","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle","boss_excel_2026","14",,,"2026-09-18T09:50:30.4791240+07:00","2026-09-21T11:45:09.9185410+07:00"
"f2b60822-708a-4b30-8822-17388b9a1037","64-8664","648664",,,,,,"Trailer","Sender",,,"หางหัวลาก",,,,,"missing",,,,,,,,"2019-01-08","2022-12-31","2020-12-31",,,"3750",,"3750","No","No","needs_review","Awaiting review",,,"No","No","No","No","No","No","No","B. Trailer / non-driver asset","boss_excel_2026","18","Insurance company is blank. Policy/document field contains vehicle/trailer description 'หางหัวลาก', not a policy number. Insurance expiry is blank.",,"2026-09-18T09:50:30.4791240+07:00","2026-09-18T09:50:30.4791240+07:00"
"231b1315-1d96-434b-9ee4-1c7c59a49eb2","64-8665","648665","HINO",,"2018","MNKFM1AK1XHX15548","EIGHTEEN_WHEELER","Other Commercial Vehicle","Sender","บริษัท วิริยะประกันภัย จำกัด (มหาชน)","The Viriyah Insurance Public Company Limited","04580-68112/กธ/046852-10","Class 1 / ประเภท 1","2025-12-04","2025-12-15","2026-12-15","due_90","1150000",,"False",,,,,,,,"45501.28",,,,"45501.28","Yes","No","verified","Verified",,"11e80af9-d9b4-4576-98aa-c7f1ffc78108","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle","boss_excel_2026","27",,"document was provided. Repair type is not stated on the supplied policy document","2026-09-18T09:50:30.4791240+07:00","2026-09-21T11:50:38.6221060+07:00"
"8c944d1e-6828-4d40-8f94-bc3cb2d7f341","65-6919","656919","Trailer / พ่วง",,"2010","STL040000506",,"Trailer","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","726-0131-94","Class 1 / ประเภท 1","2026-01-13","2026-03-17","2027-03-17","active","250000","Garage repair / ซ่อมอู่","False",,,,,,,,"15925.88",,,,"15925.88","Yes","No","verified","Verified",,,"No","No","No","No","No","No","No","B. Trailer / non-driver asset","boss_excel_2026","23",,"Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided","2026-09-18T09:50:30.4791240+07:00","2026-09-21T11:57:06.7688750+07:00"
"320d62c9-b598-49ec-bc9e-1c707bc7e4f7","65-6991","656991","Trailer / พ่วง",,"2010","STL040000406",,"Trailer","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","726-0131-97","Class 1 / ประเภท 1","2026-01-15","2026-03-17","2027-03-17","active","238000","Garage repair / ซ่อมอู่","True","726-0133-76","2026-01-13","2026-03-31","2027-03-31",,,,"9524.07","645.21",,,"10169.28","Yes","Yes","verified","Verified",,,"No","No","No","No","No","No","No","B. Trailer / non-driver asset","boss_excel_2026","24",,,"2026-09-18T09:50:30.4791240+07:00","2026-09-21T12:11:40.2103140+07:00"
"8e6e762a-cec5-4d4b-bc1b-5ae97afda5f8","68-7154","687154","HINO",,"2022","MNKFM1AK1XHX21459","EIGHTEEN_WHEELER","Other Commercial Vehicle","Sender","บริษัท วิริยะประกันภัย จำกัด (มหาชน)","The Viriyah Insurance Public Company Limited","04580-68112/กธ/044205-10","Class 1 / ประเภท 1","2025-11-18","2025-12-15","2026-12-15","due_90","1500000",,,,,,,,,,"61593.9",,,,"61593.9","Yes","No","verified","Verified",,"b7c12bdd-f01c-4f40-a1b8-ef84a60c23aa","Yes","Yes","Yes","Yes","No","No","No","A. Operational fleet vehicle","boss_excel_2026","9","Registration expiry is stored as 30/09/2067; year needs confirmation before import.","Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided. Repair type is not stated on the supplied policy document","2026-09-18T09:50:30.4791240+07:00","2026-09-21T10:46:23.5444840+07:00"
"8e8995b2-099c-41d6-9800-637a193048e3","6กค-782","6กค782","NISSAN Teana",,"2015","MNTBCAL33Z0003289",,"Passenger Car",,"บริษัท นวกิจประกันภัย จำกัด (มหาชน)","The Navakij Insurance Public Company Limited","V1ZIHI-003-000 (NKD-VVJ1-26) (CBC) (1)","Class 1 / ประเภท 1","2026-04-09","2026-05-09","2027-05-09","active","360000","Garage repair / ซ่อมอู่","False",,,,,,,,"11966.88",,,,"11966.88","Yes","No","verified","Verified",,,"No","No","No","No","No","No","No","C. Passenger/personal/company car","boss_excel_2026","2","Ownership/holder is blank in the original sheet. Registration expiry is stored as 01/10/2066; year needs confirmation before import.","Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided.","2026-09-18T09:50:30.4791240+07:00","2026-09-21T13:21:22.9223810+07:00"
"710eb2f1-08db-4819-ba05-51bd987ff481","700-4145","7004145","HINO",,"2019","MNKFG8JR1XHX11910","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","725-0131-2476","Class 1 / ประเภท 1","2025-10-07","2025-11-20","2026-11-20","due_60","1300000",,"False",,,,,,,,"42550.69",,,,"42550.69","Yes","No","verified","Verified",,"f0c7582a-a757-48c8-bf6f-3b9136a31762","Yes","Yes","Yes","Yes","No","Yes","Yes","A. Operational fleet vehicle","boss_excel_2026","33","Ownership cell also contains date 26-11-2567; confirm what this date represents.","Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided. Repair type could not be verified from the supplied policy scan.","2026-09-18T09:50:30.4791240+07:00","2026-09-21T12:47:04.3860840+07:00"
"02b47635-f0f6-4217-8e4b-52d2f923747a","700-6659","7006659",,,,,"SIX_WHEEL_TRUCK","6-Wheel Truck","Sender","ไอโออิ","Aioi Bangkok Insurance","725-0131-1230",,,,"2026-05-06","expired",,,,,,,,"2021-09-10","2026-03-31",,"52249.17","1826.49",,,"54075.66","No","No","needs_review","Awaiting review",,"676edad7-573e-43c8-a69e-8270628838bb","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle","boss_excel_2026","34",,,"2026-09-18T09:50:30.4791240+07:00","2026-09-18T09:50:30.4791240+07:00"
"14c53a20-b166-4ac9-b092-5b23882ba6c8","700-6956","7006956",,,,,,"Unknown","Sender","ไอโออิ","Aioi Bangkok Insurance","725-0131-1541",,,,"2026-06-05","expired",,,,,,,,"2025-06-05","2026-03-31",,"20414.53",,,,"20414.53","No","No","needs_review","Awaiting review",,,"No","No","No","No","No","No","No","G. Unable to determine safely","boss_excel_2026","35",,,"2026-09-18T09:50:30.4791240+07:00","2026-09-18T09:50:30.4791240+07:00"
"68cfefed-682c-42bc-8168-a33c074573b5","701-1654","7011654",,,,,"SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Sender","ไอโออิ","Aioi Bangkok Insurance","725-0131-3231",,,,"2026-12-03","due_90",,,,,,,,,"2026-09-30",,"55141.38",,,,"55141.38","No","No","needs_review","Awaiting review",,"bebdce5f-e000-4a25-9edd-465a2cdcce2a","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle","boss_excel_2026","36","Registration date is blank.",,"2026-09-18T09:50:30.4791240+07:00","2026-09-18T09:50:30.4791240+07:00"
"8fd4f71d-63f7-4a4f-85e6-3b5495d1de64","701-5145","7015145","Isuzu",,"2021","MP1FTR34THT002477","SIX_WHEEL_TRUCK","6-Wheel Truck","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","726-0131-1593",,"2026-06-29","2026-06-19","2027-03-31","active","1780000",,"True","726-0133-1100","2026-06-29","2026-06-22","2027-03-31",,,,,"2100.07",,,"2100.07","Yes","Yes","verified","Verified",,"304e8d23-1beb-4380-af41-906cf5b1394b","Yes","Yes","Yes","Yes","No","No","No","A. Operational fleet vehicle","manual",,,"Main insurance document supplied is an endorsement/amendment, not the original full policy schedule. It shows a stated coverage premium of 58,574.00 THB, but the final tax-inclusive insurance premium cannot be verified from this document because stamp duty and VAT for the underlying policy are not shown. Insurance premium field has therefore been left blank pending the original policy schedule. Main endorsement No. 726-0136-145 is attached to policy No. 726-0131-1593","2026-09-21T11:08:29.8739970+07:00","2026-09-21T11:17:21.0346220+07:00"
"3dcff5e7-b1d9-4e2d-817e-e28be13ce350","74-8969","748969","NISSAN",,"2001","PKB211N00292","SIX_WHEEL_TRUCK","6-Wheel Truck","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","725-0131-2126","Class 3 / ประเภท 3","2025-08-28","2025-10-01","2026-09-30","due_30",,,"False",,,,,,,,"8923.8",,,,"8923.8","Yes","No","verified","Verified",,"065a55ae-88de-4fe2-acb9-7cf564dab5cd","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle","boss_excel_2026","28",,"Class 3 main insurance policy. Compulsory insurance (พ.ร.บ.) is not included and no compulsory insurance document was provided. Insured value and repair type are not stated/applicable on the supplied Class 3 policy.","2026-09-18T09:50:30.4791240+07:00","2026-09-21T12:38:27.9050630+07:00"
"c477bc1e-7dde-420a-9618-6ca079e8cd4e","77-5902","775902",,,,,,"Trailer","Sender",,,"หางหัวลาก",,,,"2024-09-30","expired",,,,,,,,"2007-10-01","2024-09-30","2020-09-30",,,,,"0","No","No","needs_review","Awaiting review",,,"No","No","No","No","No","No","No","B. Trailer / non-driver asset","boss_excel_2026","29","Insurance company is blank. Policy/document field contains vehicle/trailer description 'หางหัวลาก', not a policy number.",,"2026-09-18T09:50:30.4791240+07:00","2026-09-18T09:50:30.4791240+07:00"
"39971a11-34b9-4079-8c2e-47e01da60b1b","77-8513","778513",,,,,,"Trailer","Sender",,,"หางหัวลาก",,,,,"missing",,,,,,,,"2008-03-17",,,,,,,"0","No","No","needs_review","Awaiting review",,,"No","No","No","No","No","No","No","B. Trailer / non-driver asset","boss_excel_2026","3","Insurance company is blank. Policy/document field contains vehicle/trailer description 'หางหัวลาก', not a policy number. Registration expiry is stored as 04/10/2066; year needs confirmation before import. Insurance expiry is blank.",,"2026-09-18T09:50:30.4791240+07:00","2026-09-18T09:50:30.4791240+07:00"
"fce76849-c36b-485c-9f68-f217eb7a43dc","78-6996","786996","HINO",,"2009","FG8JRLA12086","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","725-0131-2493","Class 1 / ประเภท 1","2025-10-08","2025-11-09","2026-11-09","due_60","380000",,"False",,,,,,,,"37166.45",,,"5766","42932.45","Yes","No","verified","Verified",,"d5671a47-1b7e-4325-9f4c-389a4d0f28cc","Yes","Yes","Yes","Yes","Yes","No","No","A. Operational fleet vehicle","boss_excel_2026","30",,"ain insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided. Repair type is not stated on the supplied policy document","2026-09-18T09:50:30.4791240+07:00","2026-09-21T12:34:24.4480840+07:00"
"38330b8f-3092-41ab-97f4-d567e542ae71","79-2945","792945","HINO",,"2010","FG8JRLA12348","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","725-0131-2576","Class 1 / ประเภท 1","2025-10-17","2025-12-28","2026-12-28","active","550000",,"False",,,,,,,,"18047.69",,,,"18047.69","Yes","No","verified","Verified",,"4837ad1d-5dec-4412-8647-1eaf81ad79be","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle","boss_excel_2026","4","Registration expiry is stored as 06/10/2066; year needs confirmation before import.","Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided. Repair type is not stated on the supplied policy document","2026-09-18T09:50:30.4791240+07:00","2026-09-21T12:17:49.3256390+07:00"
"bffcfab3-0d49-47bb-bc41-d2bce6c2a87b","79-5318","795318","HINO",,"2011","SS3VJC10209","EIGHTEEN_WHEELER","Other Commercial Vehicle","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","726-0131-48","Class 1 / ประเภท 1","2026-01-08","2026-02-14","2027-02-14","active","663000","Garage repair / ซ่อมอู่","False",,,,,,,,"33645.08",,,,"33645.08","Yes","No","verified","Verified",,"7288fac8-a625-4c1c-9dbf-1e3832ff9528","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle","boss_excel_2026","22",,"Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided.","2026-09-18T09:50:30.4791240+07:00","2026-09-21T12:59:54.3541140+07:00"
"a39444f7-8cd9-445f-a5bf-194bba476129","ญค-280","ญค280","TOYOTA CAMRY",,"2011","MR053BK4107060904",,"Passenger Car",,"บริษัท วิริยะประกันภัย จำกัด (มหาชน)","The Viriyah Insurance Public Company Limited","04580-69112/กธ/W08480-10","Class 1","2026-05-06","2026-05-13","2027-05-13","active","350000","Garage repair / ซ่อมอู่","False",,,,,,,,"25339.6",,,,"25339.6","Yes","No","verified","Verified",,,"No","No","No","No","No","No","No","C. Passenger/personal/company car","boss_excel_2026","5","Ownership/holder is blank in the original sheet. Registration expiry is stored as 09/10/2066; year needs confirmation before import.",,"2026-09-18T09:50:30.4791240+07:00","2026-09-21T13:13:10.9842900+07:00"
"e56bfebe-a5a6-4a33-b3ac-f59a509c5c00","ญม3824","ญม3824","TOYOTA COROLLA ALTIS",,"2011","MR053REE204113437",,"Passenger Car",,"บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","725-0131-1645",,"2025-06-27","2025-08-25","2026-08-28","expired","200000",,"True","725-0133-1182","2025-06-27","2025-08-28","2026-08-28",,,,"12791.85","645.21","3774.6",,"17211.66","Yes","Yes","verified","Verified",,,"No","No","No","No","No","No","No","C. Passenger/personal/company car","boss_excel_2026","6","Ownership/holder is blank in the original sheet. Registration expiry is stored as 10/10/2066; year needs confirmation before import.","Main insurance and compulsory insurance verified using the policy endorsement documents and premium notices. Main policy No. 725-0131-1645 has a verified total premium of 12,791.85 THB. Main endorsement No. 725-0136-135 was issued 27/08/2025. Compulsory policy No. 725-0133-1182 has a verified total premium of 645.21 THB. Compulsory endorsement No. 725-0136-136 was issued 27/08/2025. Insurance class and repair type are not clearly stated on the supplied documents.","2026-09-18T09:50:30.4791240+07:00","2026-09-21T13:41:43.7971080+07:00"
